restro_id,c_name,phone_no
1,Contact1,+918928304306
2,Contact1,+919019453912
3,Contact1,+919513746209
4,Contact1,+918204299973
4,Contact2,+918792235502
5,Contact1,+918204294455
6,Contact1,+917026128800
6,Contact2,+918202571700
7,Contact1,+918310128535
7,Contact2,+919886770130
8,Contact1,+919123916124
8,Contact2,+919831744185
9,Contact1,+918202574144
9,Contact2,+919731012968
10,Contact1,+918202570908
11,Contact1,+917829341777
11,Contact2,+918202571677
12,Contact1,+919606973044
13,Contact1,+918202571618
14,Contact1,+919880801232
14,Contact2,+918204291232
15,Contact1,+918105141011
16,Contact1,+919611478999
17,Contact1,+919482523202
18,Contact1,+919986119622
19,Contact1,+919611115285
20,Contact1,+918202575129
21,Contact1,+917337878333
22,Contact1,+919620278337
23,Contact1,+918904487379
24,Contact1,+916364403274
25,Contact1,+918204295010
26,Contact1,+919448092447
27,Contact1,+919611115285
27,Contact2,+917349210607
28,Contact1,+918197117324
29,Contact1,+919731516246
30,Contact1,+918202572035
30,Contact2,+918105558788
31,Contact1,+919740008183
32,Contact1,+918202575937
33,Contact1,+919972409953
34,Contact1,+919448355246
35,Contact1,+918088661829
36,Contact1,+918451955858
37,Contact1,+917022281886
38,Contact1,+918451955858
39,Contact1,+918202701600
40,Contact1,+918451955858
41,Contact1,+919449230083
42,Contact1,+9118001086060
42,Contact2,+917090760332
42,Contact3,+918880326060
43,Contact1,+918206955909
44,Contact1,+919901667768
45,Contact1,+917259030324
46,Contact1,+918451955858
47,Contact1,+918451955858
48,Contact1,+919449449081
48,Contact2,+919886799081
49,Contact1,+919902441234
50,Contact1,+919481283130
50,Contact2,+919741923418
51,Contact1,+919900410196
52,Contact1,+917676744876
53,Contact1,+918202571618
54,Contact1,+917411533256
55,Contact1,+918202534856
55,Contact2,+919740970185
56,Contact1,+917259251270
57,Contact1,+919880865448
58,Contact1,+916366211777
59,Contact1,+919741252974
59,Contact2,+918202527352
60,Contact1,+918202570960
61,Contact1,+919448798833
62,Contact1,+919739993999
63,Contact1,+919611115285
64,Contact1,+918550856649
65,Contact1,+918202572157
66,Contact1,+918202520791
66,Contact2,+918202520795
67,Contact1,+918451955858
68,Contact1,+917676555326
69,Contact1,+919880865448
70,Contact1,+919844311011
71,Contact1,+919902573141
72,Contact1,+919008812769
73,Contact1,+918202535904
74,Contact1,+917259749226
75,Contact1,+918884259977
76,Contact1,+917483645132
77,Contact1,+919986119622
78,Contact1,+919108225777
79,Contact1,+918880326060
80,Contact1,+919986357763
81,Contact1,+919964898607
82,Contact1,+918451955858
83,Contact1,+918296539196
84,Contact1,+917349210607
84,Contact2,+919606980099
84,Contact3,+919110834593
85,Contact1,+918105067371
86,Contact1,+917022432528
87,Contact1,+918451955858
88,Contact1,+918277125643
89,Contact1,+917829755657
90,Contact1,+918861626351
91,Contact1,+918277534158
91,Contact2,+918277124046
92,Contact1,+917760893733
93,Contact1,+918451955858
94,Contact1,+919845870019
94,Contact2,+917625031057
95,Contact1,+918970522444
96,Contact1,+918310381872
97,Contact1,+917975147517
97,Contact2,+919901798000
98,Contact1,+916366300685
99,Contact1,+919886831888
100,Contact1,+919480558363
101,Contact1,+919972409953
102,Contact1,+918310533402
103,Contact1,+919731542673
104,Contact1,+916364403274
105,Contact1,+917483498979
106,Contact1,+919663371888
107,Contact1,+9182024296418
108,Contact1,+919483170477
109,Contact1,+917259030323
110,Contact1,+919448815375
111,Contact1,+918095907575
112,Contact1,+919902845331
113,Contact1,+918202530003
114,Contact1,+918147254177
115,Contact1,+919820929223
116,Contact1,+919164108414
116,Contact2,+919731223318
117,Contact1,+918660887818
118,Contact1,+916364001259
119,Contact1,+917760437979
119,Contact2,+918073143997
120,Contact1,+919591268646
120,Contact2,+918971240669
121,Contact1,+919845230972
122,Contact1,+919880845709
122,Contact2,+917411111120
110,Contact1,+919481842254
124,Contact1,+919620419007
124,Contact2,+918495891432
125,Contact1,+919743294717
125,Contact1,+919743294717
127,Contact1,+918217405692
128,Contact1,+918151913000
129,Contact1,+917821087878
130,Contact1,+918892889737
131,Contact1,+919739057868
131,Contact2,+917760064171
132,Contact1,+918204298800
132,Contact2,+917338604555
133,Contact1,+919945669995
134,Contact1,+919921721084
134,Contact2,+918105349308
135,Contact1,+918204294455
136,Contact1,+919008232259
137,Contact1,+917022228111
138,Contact1,+919148321040
138,Contact2,+918884874200
139,Contact1,+919739493133
140,Contact1,+919902845331
141,Contact1,+918202508800
142,Contact1,+918123391122
143,Contact1,+918123211855
144,Contact1,+916364612211
145,Contact1,+919740545113
146,Contact1,+918105446664
147,Contact1,+919123916124
148,Contact1,+919008138522
149,Contact1,+918202530763
149,Contact2,+919035446019
150,Contact1,+918204296877
150,Contact2,+917259092777
151,Contact1,+918277534185
151,Contact2,+918202574860
151,Contact3,+918277086577
152,Contact1,+918202530761
152,Contact2,+918202530762
153,Contact1,+918217315642
154,Contact1,+918202529605
154,Contact2,+918202529805
155,Contact1,+918202529705
155,Contact2,+918202529805
156,Contact1,+918202530005
156,Contact2,+918197250933
157,Contact1,+919008232259
158,Contact1,+918047106107
159,Contact1,+918884854307
159,Contact2,+917483736933
160,Contact1,+919663689854
161,Contact1,+918202530761
161,Contact2,+918202530762
162,Contact1,+918202530762
163,Contact1,+919880854721
164,Contact1,+919742971777
165,Contact1,+919743294717
166,Contact1,+918971655455
167,Contact1,+919867722393
