Drips Bakery and Cakes,4.5
McDonald's,4.5
7th Heaven - A Slice of Happiness,4.4
Domino's Pizza,4.1
Hadiqa,4.3
Foodezze Cafe Grills And Subs,4.2
Subway,4.3
Manna Rolls,4.5
Pai Tiffins,4.2
KFC,4.1
Snack Shack,4.1
Manipal Express,4.1
Polar Bear,4.5
Teapot Cafe,4.1
The Belgian Waffle Co.,4.4
Zebra Spot Restaurant,4.1
Natural Ice Cream,4.3
Red Kitchen,4.1
Anupam Restaurant,4.1
WarmOven Cake,4.3
Kathi Junction,4.3
Indiana Burgers,4.1
Kediyoor's Pizza,4.3
Cupcake Bliss Cakes,4.1
Frozen Bottle,4.4
Dolce Desserts,4.3
Hotel Swadisht,4.1
Hotel Kediyoor Gokula Krishna,4.4
CTF Udupi,4.2
Scoop N Bake,4.4
FFC Shawarma,4.1
Baskin Robbins,4.5
Hot Chix,4.1
Hotel Pancharatna Paradise,4.1
Sundae Everyday Ice Creams,4.1
Hotel Parota Point,4.2
Summer Park Deluxe A/C,4.3
Juice Junction,4.2
Barbeque Nation,4.5
Scoops N Smiles,4.3
Hotel Swastik,4.2
Saiba,4.1
Big Boss,4.2
Hangyo CTF,4.2
Makazai,4.3
Mexican Burrito,4.2
Kediyoor Gazebo,4.4
Machali Restaurant,4.2
Sammana Hotel,4.1
Madhuvan Mandara Multi Cuisine Family Restaurant,4.3
Malika - White Lotus Hotel,4.1
Dolphin Lunch Home,4.1
Coral,4.2
Payohima,4.4
Scirocco,4.2
Hotel Sammana Veg,4.1
Saiba Restaurant,4.1
Pisces Multicuisine Deluxe Family Restaurant,4.2
Swadesh Heritage A/C Restaurant,4.1
Swadesh Heritage,4.2
Hotel Udupi Residency,4.1
Knight Bite,4.2
Hotte Tumba Fish Court,4.1
