names,prices
Death by Chocolate (DBC) Sundae,219.0
Brownie Fudge Sundae,219.0
Classic Black forest Sundae,209.0
Cashew Delight,389.0
Nutty Chocolate Sundae,179.0
Creme Da La Caramel,139.0
Choco Lava Cake,89.0
Choco Lava Sundae,199.0
Brownie Blast Sundae,149.0
Chocolate Truffle Jar Cake,144.0
Red Velvet Jar Cake,144.0
Oreo Kiddo Sundae,129.0
Gooey Brownie,89.0
Vanilla Sundae Scoop,59.0
Chocolate Fudge Sundae Large,199.0
Choco Lava Cake,89.0
Gooey Brownie,89.0
Walnut Brownie,89.0
Nutty Chocolate Sundae,179.0
Oreo Kiddo Sundae,129.0
Chocolate Fudge Sundae Large,199.0
Brownie Fudge Sundae,219.0
Death by Chocolate (DBC) Sundae,219.0
Cashew Delight,389.0
Choco Lava Sundae,199.0
Strawberry Vanilla Sundae Medium,139.0
Classic Black forest Sundae,209.0
Strawberry Vanilla Sundae Large,179.0
Caramel Vanilla Sundae Medium,139.0
Chocolate Sprinkle Sundae,129.0
Creme Da La Caramel,139.0
Gems Chocolate Sundae,139.0
Brownie Blast Sundae,149.0
Almond Vanilla Sundae,159.0
Chocolate Sundae Scoop,49.0
Vanilla Sundae Scoop,59.0
Your Fav Tri Scoops,139.0
Chocolate Truffle Jar Cake,144.0
Red Velvet Jar Cake,144.0
Death By Chocolate Jar Cake,174.0
Black Forest Jar Cake,134.0
